id;fests;feemt;femin;femax;fefee;fediscp;fedisc;fetax;felmd;feuid
1;reinvent;24/7 orang;93901;36316;5805;72919;6171;39489;2021-12-25;Gloves
2;Avon quantify platforms;Lanka New ;90981;77767;30087;6792;23704;5841;2021-12-25;Viaduct Buckinghamshire
3;South online;National N;75618;56191;78084;80528;78949;36985;2021-12-25;channels sensor dot-com
4;Mouse Coordinator;Horizontal;64171;88659;9416;35102;18275;25422;2021-12-25;parsing compress
5;Metal Franc;Hat;27199;26902;78263;97589;49328;10152;2021-12-25;bypassing
6;cohesive Silver Awesome;XSS Unbran;80723;49427;56912;67926;21925;8677;2021-12-25;system Carolina exploit
7;indexing framework;Berkshire ;35058;52608;84940;98078;34670;67750;2021-12-25;Spur User-friendly
8;Cambridgeshire turquoise;Internatio;52651;32693;78330;41991;76772;93327;2021-12-25;evolve
9;Granite;mesh;35220;82210;75261;76628;34497;44491;2021-12-25;Brazil Ball
10;Chile Handcrafted;Usability ;17822;23654;42105;59255;85889;45695;2021-12-25;ROI Car
